_id,expert_userId,intitule,localisation,date_debut,date_fin,HT_TTC,replacement_or_creation,presentiel_distanciel,isClosed,forfait_remuneration,status,createdAt,updatedAt,hours_planned,note_communication,note_quality,note_level
656ca1bf843c536c576b92c4,62656dcc14c13d7d18f8a109,formation Qualiopi,Oloron Sainte-Marie,03/10/2023,24/11/2023,HT,Création,presentiel,VRAI,hourly,terminated,03/11/2023,1701618122198,,,,
656a06f9843c536c576b8eda,62bd69eeb92b4e1a8ec36ebb,Management & Leadership,Bordeaux,15/05/2024,15/05/2024,TTC,Création de poste,,FAUX,hourly,pending,01/11/2023,1701447427316,5,,,
6569f99411ad9c29f93181cd,62bd69eeb92b4e1a8ec36ebb,Management et Ressources Humaines,Bordeaux,05/12/2023,19/12/2023,TTC,reconduction,presentiel,FAUX,hourly,pending,01/11/2023,1701472200701,9,,,
6569f6d111ad9c29f93181bd,6225ccbd316ade097cd55097,Jury : LV2 Italien,Bordeaux,07/06/2023,07/06/2023,TTC,Création,,FAUX,hourly,pending,01/11/2023,1701443286067,1,,,
6569f6a511ad9c29f93181bc,6411b89643068357ef8423aa,"Jury ""entretien professionnel"" : rapports d'activité",Bordeaux,25/05/2023,25/05/2023,TTC,Création,presentiel,FAUX,hourly,pending,01/11/2023,1701443242617,"6,5",,,
6569f60811ad9c29f93181b6,6329965422d1f03a8a691c4b,Management interculturel,Bordeaux,14/11/2023,14/11/2023,TTC,Création de poste,presentiel,FAUX,hourly,pending,01/11/2023,1701443084134,6,,,
6569e95e11ad9c29f9318186,628d382d1fbb04796427189a,"Gestion des risques intern & réglementation douanières, incoterms Niveau Expert.",Bordeaux,02/01/2024,30/04/2024,TTC,Reconduction,,FAUX,hourly,proposed,01/11/2023,1701439838781,15,,,
65688f5711ad9c29f9317dfb,6332a3c886a6612f5c1fef44,Jury marketing,Bordeaux,30/11/2023,30/11/2023,,Création,presentiel,VRAI,hourly,terminated,30/10/2023,1701689964720,3,,,
65688f5211ad9c29f9317dfa,633fd5cdbcc18741abdf0027,Jury marketing,Bordeaux,30/11/2023,30/11/2023,,Création,presentiel,VRAI,hourly,terminated,30/10/2023,1701690115799,3,,,
65688f4e11ad9c29f9317df9,6525700e5b0ddd07d925b6c1,Jury marketing,Bordeaux,30/11/2023,30/11/2023,,Création,presentiel,VRAI,hourly,terminated,30/10/2023,1701690128131,3,,,
