_id,type,companyOrSchool,civility,howWeMet,createdAt,updatedAt,validatedEmail,company.type,company.address,company.tvaNumber,lastConnection,,"La colonne ""companyOrSchool"" est une précision du type de client. La collection profile contient les profils de type ""expert"" et ""company"".
Dans les profils de type ""company"" nous faisons la distinctions entre les entreprises (company) et les écoles (school). "
65703265c05b1d56a5d21b74,company,company,male,autre,06/11/2023,1701854502362,VRAI,EI,"1 Rue Cabanis, Paris, France","2,1",1701854502359,,
6570273b843c536c576b98b7,company,company,male,autre,06/11/2023,1701849053210,VRAI,,,,,,
656c999b843c536c576b92b7,company,company,female,bouche à oreille,03/11/2023,1701616877948,VRAI,ENCOURS,"1 Avenue Alexander Fleming, Oloron-Sainte-Marie, France",20,1701616522258,,
65679f206df3a711cd495148,company,company,female,bouche à oreille,29/10/2023,1701290054508,VRAI,SARL,"17 Avenue du Maréchal de Lattre de Tassigny, Villecresnes, France",20,,,
65675f556df3a711cd4950df,company,school,female,bouche à oreille,29/10/2023,1701353778806,VRAI,SAS,"46 Rue René Clair, Paris, France",0,1701353778804,,
6567044c6df3a711cd495028,company,school,female,linkedin,29/10/2023,1701250124772,,,,,,,
6565ad256df3a711cd494dcd,company,school,female,linkedin,28/10/2023,1701162486858,VRAI,,"29 Avenue Leclerc, Lyon, France",0,,,
6564bb866df3a711cd494c47,company,school,male,bouche à oreille,27/10/2023,1701873783826,VRAI,SA,"85 Rue Anatole France, Levallois-Perret, France",0,1701873783822,,
6564ba586df3a711cd494c42,company,company,male,linkedin,27/10/2023,1701878358940,VRAI,SARL,14 rue euler 33700 mérignac,0,1701878358938,,
6564b5f46df3a711cd494c2e,company,company,male,bouche à oreille,27/10/2023,1701876891745,VRAI,SARL,"85 Rue Anatole France, Levallois-Perret, France",20,1701876891741,,
6564b1d2ddcee07998d010d0,company,company,female,autre,27/10/2023,1701100241232,VRAI,EI,"3 Rue de Castiglione, Paris, France",0,1701100166653,,
655f89da4c24a02f8f55eb18,company,company,female,bouche à oreille,23/10/2023,1701295155058,VRAI,SAS,"17 Avenue du Maréchal de Lattre de Tassigny, talence, France",20,1701295155056,,
655dc5300972f25b9dfca8d9,company,school,female,autre,22/10/2023,1700645206431,VRAI,ASSO,"16 Boulevard Général de Gaulle, Nantes, France",0,1700644216369,,
655cceb60972f25b9dfca78e,company,school,female,bouche à oreille,21/10/2023,1700581654332,VRAI,SAS,"20 Boulevard Général de Gaulle, Nantes, France",20,1700581654330,,
655cc9a40972f25b9dfca77f,company,school,male,linkedin,21/10/2023,1701938694442,VRAI,ASSO,"2 Rue Norbert Segard, Lille, France",20,1701938596807,,
655cbc380972f25b9dfca74c,company,school,male,bouche à oreille,21/10/2023,1700576312600,VRAI,,,,,,
655c81e70972f25b9dfca68b,company,school,male,linkedin,21/10/2023,1700561905897,VRAI,ASSO,"Av. Paul Pascot, 66000 Perpignan",0,1700561905894,,
655c67287c95b656962438da,company,school,male,recherche web,21/10/2023,1701331018347,VRAI,MICRO,"LE 36 BIS, Rue Vital Carles, Bordeaux, France",0,1701331018344,,
655b7467203e6a22c9ef0779,company,school,female,autre,20/10/2023,1700492547970,VRAI,SASU,"2 Esp. de la Gare, Le Bouscat, France",20,,,
65579b14203e6a22c9ef013b,company,company,male,bouche à oreille,17/10/2023,1701676501031,VRAI,SAS,"Rue Charles Nungesser, Blanquefort, France",20,1701676501030,,
6554dd20203e6a22c9eefdd7,company,company,female,autre,15/10/2023,1700124617280,VRAI,SASU,"33 Rue Jean Soula, Bordeaux, France",20,1700124617279,,
65549e7b203e6a22c9eefd8e,company,school,male,linkedin,15/10/2023,1700746775565,VRAI,SASU,"Rue Georges Mandel, Angers, France",20,1700746775563,,
655493c0203e6a22c9eefd84,company,school,male,recherche web,15/10/2023,1700045428653,VRAI,SAS,"12 Parvis Colonel Arnaud Beltrame, Versailles, France",20,,,
6552353c72811d2ae603e4a6,company,company,male,autre,13/10/2023,1701276819528,VRAI,SASU,"Rue Robert Caumont, Bordeaux, France",20,1701276819526,,
