_id,civility,howWeMet,mailing,sms,createdAt,updatedAt,cgu_accepted.cgu_last_version_accepted,cgu_accepted.accepted_when,validatedEmail,companyOrSchool,lastConnection,company.type,company.tvaNumber,email
656dbf85843c536c576b944a,female,parrainage,VRAI,VRAI,04/11/2023,1701691902456,VRAI,1701691269629,VRAI,,,,,
656db268843c536c576b943b,male,bouche à oreille,FAUX,FAUX,04/11/2023,1701689262124,VRAI,1701687912414,VRAI,,,,,
656c999b843c536c576b92b7,female,bouche à oreille,VRAI,FAUX,03/11/2023,1701616877948,VRAI,1701616027392,VRAI,company,1701616522258,ENCOURS,20,
656a3826843c536c576b8f55,male,bouche à oreille,FAUX,FAUX,01/11/2023,1701680454743,VRAI,1701460006202,VRAI,,1701676750755,,,
656a0b86843c536c576b8ef4,male,bouche à oreille,FAUX,FAUX,01/11/2023,1701448966622,VRAI,1701448581969,VRAI,,,,,
656997ac11ad9c29f93180b1,male,linkedin,VRAI,VRAI,01/11/2023,1701426796475,VRAI,1701418924406,VRAI,,,,,
6569016711ad9c29f9317f81,female,recherche web,VRAI,VRAI,30/10/2023,1701381439050,VRAI,1701380455323,VRAI,,,,,
6568c29411ad9c29f9317ea0,male,bouche à oreille,VRAI,FAUX,30/10/2023,1701364372007,VRAI,1701364372007,VRAI,,,,,
65687d2711ad9c29f9317dd7,male,entreprise partenaire,VRAI,VRAI,30/10/2023,1701346955122,VRAI,1701346599472,VRAI,,,,,
65684ae76df3a711cd4951e5,male,linkedin,VRAI,VRAI,30/10/2023,1701334107423,VRAI,1701333735873,VRAI,,,,,
65679f206df3a711cd495148,female,bouche à oreille,VRAI,FAUX,29/10/2023,1701290054508,VRAI,1701289760517,VRAI,company,,SARL,20,
6567845a6df3a711cd49512e,male,bouche à oreille,FAUX,FAUX,29/10/2023,1701441932452,VRAI,1701282906240,VRAI,,,,,
6567795f6df3a711cd495124,female,linkedin,VRAI,VRAI,29/10/2023,1701439195952,VRAI,1701280095223,VRAI,,1701438934849,,,
65675f556df3a711cd4950df,female,bouche à oreille,FAUX,FAUX,29/10/2023,1701353778806,VRAI,1701273429517,VRAI,school,1701353778804,SAS,0,
6567044c6df3a711cd495028,female,linkedin,FAUX,FAUX,29/10/2023,1701250124772,VRAI,1701250124772,,school,,,,
6566fc106df3a711cd494ff6,male,autre,FAUX,VRAI,29/10/2023,1701419800108,VRAI,1701248016261,VRAI,,1701417316626,,,
6565ad256df3a711cd494dcd,female,linkedin,FAUX,FAUX,28/10/2023,1701162486858,VRAI,1701162277018,VRAI,school,,,0,
6564bb866df3a711cd494c47,male,bouche à oreille,FAUX,FAUX,27/10/2023,1701354427739,VRAI,1701100421967,VRAI,school,1701354427737,,,
6564ba586df3a711cd494c42,male,linkedin,FAUX,FAUX,27/10/2023,1701330034379,VRAI,1701100120097,VRAI,company,1701330034377,SARL,0,
6564b5f46df3a711cd494c2e,male,bouche à oreille,FAUX,FAUX,27/10/2023,1701680658752,VRAI,1701098995952,VRAI,company,1701680658750,SARL,20,
6564b1d2ddcee07998d010d0,female,autre,FAUX,FAUX,27/10/2023,1701100241232,VRAI,1701097937992,VRAI,company,1701100166653,EI,0,
6564a618ddcee07998d010c1,male,bouche à oreille,FAUX,VRAI,27/10/2023,1701680528169,VRAI,1701094936194,VRAI,,1701680528155,,,
6564676fddcee07998d01000,female,autre,FAUX,FAUX,27/10/2023,1701694255491,VRAI,1701078895586,VRAI,,1701694177059,,,
656466fdddcee07998d00ffc,female,autre,FAUX,FAUX,27/10/2023,1701339187430,VRAI,1701078781720,VRAI,,1701338328206,,,
6563a064ddcee07998d00ed8,female,linkedin,FAUX,FAUX,26/10/2023,1701028025257,VRAI,1701027940340,VRAI,,,,,
6563746fddcee07998d00ebf,female,bouche à oreille,FAUX,FAUX,26/10/2023,1701019279108,VRAI,1701016687542,VRAI,,1701016758197,,,
6560d335ddcee07998d00b35,male,linkedin,FAUX,VRAI,24/10/2023,1701020119494,VRAI,1700844341814,VRAI,,1701019170958,,,
6560b6a1ddcee07998d00abc,male,autre,VRAI,VRAI,24/10/2023,1700933683845,VRAI,1700837025758,VRAI,,1700931533728,,,
6560b29addcee07998d00ab9,female,parrainage,VRAI,VRAI,24/10/2023,1701687009258,VRAI,1700835994588,VRAI,,1701678853582,,,
656077064054c942bf3e91c7,female,parrainage,FAUX,VRAI,24/10/2023,1701351250762,VRAI,1700820742025,VRAI,,1701351250758,,,
655f89da4c24a02f8f55eb18,female,bouche à oreille,VRAI,FAUX,23/10/2023,1701295155058,VRAI,1700760026435,VRAI,company,1701295155056,SAS,20,
655f73524c24a02f8f55eb0a,female,autre,FAUX,FAUX,23/10/2023,1700757730203,VRAI,1700754258749,VRAI,,,,,
655f253c4c24a02f8f55ea8d,female,bouche à oreille,FAUX,FAUX,23/10/2023,1701337252110,VRAI,1700734268785,VRAI,,1701337252099,,,
655dc5300972f25b9dfca8d9,female,autre,FAUX,FAUX,22/10/2023,1700645206431,VRAI,1700644144613,VRAI,school,1700644216369,ASSO,0,
655cd9d60972f25b9dfca7a6,female,bouche à oreille,VRAI,FAUX,21/10/2023,1701094566748,VRAI,1700583894102,VRAI,,1701094185816,,,
655cceb60972f25b9dfca78e,female,bouche à oreille,FAUX,FAUX,21/10/2023,1700581654332,VRAI,1700581046568,VRAI,school,1700581654330,SAS,20,
655cc9a40972f25b9dfca77f,male,linkedin,FAUX,FAUX,21/10/2023,1700579748812,VRAI,1700579748812,VRAI,school,,,,
655cc8830972f25b9dfca77c,male,linkedin,FAUX,FAUX,21/10/2023,1701246573346,VRAI,1700579459415,VRAI,,1701246573343,,,
655cbc380972f25b9dfca74c,male,bouche à oreille,VRAI,FAUX,21/10/2023,1700576312600,VRAI,1700576312600,VRAI,school,,,,
655ca1880972f25b9dfca6f6,male,linkedin,FAUX,FAUX,21/10/2023,1700570851049,VRAI,1700569480502,VRAI,,1700569547169,,,
655c81e70972f25b9dfca68b,male,linkedin,VRAI,FAUX,21/10/2023,1700561905897,VRAI,1700561383573,VRAI,school,1700561905894,ASSO,0,
655c67287c95b656962438da,male,recherche web,FAUX,FAUX,21/10/2023,1701331018347,VRAI,1700554536192,VRAI,school,1701331018344,MICRO,0,
655c60927c95b656962438c4,male,linkedin,VRAI,VRAI,21/10/2023,1700553453891,VRAI,1700552850355,VRAI,,,,,
655b76cc203e6a22c9ef0781,male,recherche web,FAUX,FAUX,20/10/2023,1701439237735,VRAI,1700493004636,VRAI,,1701439237733,,,
655b7467203e6a22c9ef0779,female,autre,VRAI,FAUX,20/10/2023,1700492547970,VRAI,1700492390983,VRAI,school,,SASU,20,
65579b14203e6a22c9ef013b,male,bouche à oreille,FAUX,FAUX,17/10/2023,1701676501031,VRAI,1700240148187,VRAI,company,1701676501030,SAS,20,
6557927e203e6a22c9ef011d,male,autre,FAUX,FAUX,17/10/2023,1700493706940,VRAI,1700237950722,VRAI,,1700493688444,,,
6555d085203e6a22c9eefea0,female,bouche à oreille,VRAI,FAUX,16/10/2023,1700122757852,VRAI,1700122757852,VRAI,,,,,
6555ce51203e6a22c9eefe98,male,linkedin,FAUX,VRAI,16/10/2023,1700124403811,VRAI,1700122192792,VRAI,,,,,
65552a06203e6a22c9eefe21,female,bouche à oreille,FAUX,VRAI,15/10/2023,1700081992883,VRAI,1700080134294,VRAI,,,,,
6554ea72203e6a22c9eefdf0,female,linkedin,FAUX,FAUX,15/10/2023,1700064110611,VRAI,1700063858146,VRAI,,,,,
6554dd20203e6a22c9eefdd7,female,autre,FAUX,FAUX,15/10/2023,1700124617280,VRAI,1700060448829,VRAI,company,1700124617279,SASU,20,
6554dba6203e6a22c9eefdcc,male,bouche à oreille,FAUX,FAUX,15/10/2023,1700213465523,VRAI,1700060070881,VRAI,,1700212435663,,,
6554a9f6203e6a22c9eefda7,male,bouche à oreille,FAUX,FAUX,15/10/2023,1700050549123,VRAI,1700047350487,VRAI,,,,,
65549e7b203e6a22c9eefd8e,male,linkedin,VRAI,FAUX,15/10/2023,1700746775565,VRAI,1700044411729,VRAI,school,1700746775563,SASU,20,
655493c0203e6a22c9eefd84,male,recherche web,VRAI,FAUX,15/10/2023,1700045428653,VRAI,1700041664767,VRAI,school,,SAS,20,
65537982203e6a22c9eefc2c,female,bouche à oreille,FAUX,FAUX,14/10/2023,1699970089127,VRAI,1699969410066,VRAI,,,,,
65525690203e6a22c9eefa69,male,autre,VRAI,VRAI,13/10/2023,1699896691346,VRAI,1699894928011,VRAI,,,,,
65524555203e6a22c9eefa4a,male,bouche à oreille,FAUX,FAUX,13/10/2023,1701423855433,VRAI,1699890517788,VRAI,,1701423855432,,,
6552353c72811d2ae603e4a6,male,autre,FAUX,FAUX,13/10/2023,1701276819528,VRAI,1699886396005,VRAI,company,1701276819526,SASU,20,
6552353872811d2ae603e4a4,female,bouche à oreille,VRAI,VRAI,13/10/2023,1700576734727,VRAI,1699886392042,VRAI,,1700576734722,,,
6551fe6372811d2ae603e418,female,bouche à oreille,VRAI,VRAI,13/10/2023,1699876076187,VRAI,1699872355153,VRAI,,,,,
6551d14c72811d2ae603e37c,female,linkedin,VRAI,FAUX,13/10/2023,1700641566651,VRAI,1699860812667,VRAI,,1700641566650,,,
6551201672811d2ae603e241,female,bouche à oreille,FAUX,FAUX,12/10/2023,1700592038425,VRAI,1699815446840,VRAI,,1700585360035,,,
65509a3172811d2ae603e0e3,female,linkedin,VRAI,FAUX,12/10/2023,1699782300182,VRAI,1699781169380,VRAI,,,,,
654e4cc272811d2ae603de76,female,bouche à oreille,VRAI,FAUX,10/10/2023,1699630417233,VRAI,1699630274726,VRAI,company,,SAS,20,
654e196172811d2ae603de39,male,linkedin,FAUX,FAUX,10/10/2023,1699617169941,VRAI,1699617121298,VRAI,,,,,
654d02b472811d2ae603dc97,male,linkedin,FAUX,FAUX,09/10/2023,1699601876197,VRAI,1699545780598,VRAI,,,,,
654cef5472811d2ae603dc5f,female,bouche à oreille,FAUX,FAUX,09/10/2023,1701423120928,VRAI,1699540820355,VRAI,,1701423060182,,,
654cddc672811d2ae603dc1d,female,bouche à oreille,FAUX,FAUX,09/10/2023,1701164433998,VRAI,1699536326662,VRAI,,1701164433996,,,
654bcbe872811d2ae603d9e9,male,autre,FAUX,FAUX,08/10/2023,1699469386892,VRAI,1699466216797,VRAI,,,,,
654ba0c772811d2ae603d8f0,male,entreprise partenaire,VRAI,FAUX,08/10/2023,1700483469037,VRAI,1699455174934,VRAI,,1700483469033,,,
654b447b72811d2ae603d6cf,male,linkedin,VRAI,FAUX,08/10/2023,1699434609748,VRAI,1699431547420,VRAI,,,,,
654aa4e472811d2ae603d4dd,male,linkedin,FAUX,VRAI,07/10/2023,1700207931898,VRAI,1699390692313,VRAI,,1700207926130,,,
