_id,type,civility,howWeMet,createdAt,updatedAt,validatedEmail,data
65703265c05b1d56a5d21b74,company,male,autre,06/11/2023,2023-12-06 09:21:42.362,VRAI,company
6570273b843c536c576b98b7,company,male,autre,06/11/2023,2023-12-06 07:50:53.210,VRAI,company
656c999b843c536c576b92b7,company,female,bouche à oreille,03/11/2023,2023-12-03 15:21:17.948,VRAI,company
65679f206df3a711cd495148,company,female,bouche à oreille,29/10/2023,2023-11-29 20:34:14.508,VRAI,company
65675f556df3a711cd4950df,company,female,bouche à oreille,29/10/2023,2023-11-30 14:16:18.806,VRAI,company
6567044c6df3a711cd495028,company,female,linkedin,29/10/2023,2023-11-29 09:28:44.772,,company
6565ad256df3a711cd494dcd,company,female,linkedin,28/10/2023,2023-11-28 09:08:06.858,VRAI,company
6564bb866df3a711cd494c47,company,male,bouche à oreille,27/10/2023,2023-12-06 14:43:03.826,VRAI,company
6564ba586df3a711cd494c42,company,male,linkedin,27/10/2023,2023-12-06 15:59:18.940,VRAI,company
6564b5f46df3a711cd494c2e,company,male,bouche à oreille,27/10/2023,2023-12-06 15:34:51.745,VRAI,company
6564b1d2ddcee07998d010d0,company,female,autre,27/10/2023,2023-11-27 15:50:41.232,VRAI,company
655f89da4c24a02f8f55eb18,company,female,bouche à oreille,23/10/2023,2023-11-29 21:59:15.058,VRAI,company
655dc5300972f25b9dfca8d9,company,female,autre,22/10/2023,2023-11-22 09:26:46.431,VRAI,company
655cceb60972f25b9dfca78e,company,female,bouche à oreille,21/10/2023,2023-11-21 15:47:34.332,VRAI,company
655cc9a40972f25b9dfca77f,company,male,linkedin,21/10/2023,2023-12-07 08:44:54.442,VRAI,company
655cbc380972f25b9dfca74c,company,male,bouche à oreille,21/10/2023,2023-11-21 14:18:32.600,VRAI,company
655c81e70972f25b9dfca68b,company,male,linkedin,21/10/2023,2023-11-21 10:18:25.897,VRAI,company
655c67287c95b656962438da,company,male,recherche web,21/10/2023,2023-11-30 07:56:58.347,VRAI,company
655b7467203e6a22c9ef0779,company,female,autre,20/10/2023,2023-11-20 15:02:27.970,VRAI,company
65579b14203e6a22c9ef013b,company,male,bouche à oreille,17/10/2023,2023-12-04 07:55:01.031,VRAI,company
6554dd20203e6a22c9eefdd7,company,female,autre,15/10/2023,2023-11-16 08:50:17.280,VRAI,company
65549e7b203e6a22c9eefd8e,company,male,linkedin,15/10/2023,2023-11-23 13:39:35.565,VRAI,company
655493c0203e6a22c9eefd84,company,male,recherche web,15/10/2023,2023-11-15 10:50:28.653,VRAI,company
6552353c72811d2ae603e4a6,company,male,autre,13/10/2023,2023-11-29 16:53:39.528,VRAI,company
654e4cc272811d2ae603de76,company,female,bouche à oreille,10/10/2023,2023-11-10 15:33:37.233,VRAI,company
654a473572811d2ae603d404,company,male,autre,07/10/2023,2023-11-13 14:59:50.878,VRAI,company
6549f18f72811d2ae603d25b,company,female,autre,07/10/2023,2023-11-09 13:34:30.336,VRAI,company
653655f25b0ddd07d925d7bd,company,female,bouche à oreille,23/010/2023,2023-12-04 12:46:43.465,VRAI,company
65362e3f5b0ddd07d925d72e,company,male,autre,23/010/2023,2023-10-23 08:27:30.626,VRAI,company
65343f385b0ddd07d925d4b8,company,female,bouche à oreille,21/010/2023,2023-10-31 14:32:43.755,VRAI,company
6530ebba5b0ddd07d925cee4,company,female,bouche à oreille,19/010/2023,2023-10-19 10:05:00.217,VRAI,company
652e853d5b0ddd07d925cacb,company,female,bouche à oreille,17/010/2023,2023-11-21 11:05:32.339,VRAI,company
652e598b5b0ddd07d925ca49,company,male,autre,17/010/2023,2023-10-17 09:59:00.174,VRAI,company
652846955b0ddd07d925bde4,company,female,bouche à oreille,12/010/2023,2023-10-12 19:18:45.013,VRAI,company
6524155e5b0ddd07d925b1db,company,female,bouche à oreille,09/010/2023,2023-10-18 08:43:55.910,VRAI,company
651fe56bd2ebbd6640a83b68,company,female,recherche web,06/010/2023,2023-10-06 12:30:49.595,VRAI,company
651d7416d2ebbd6640a8331a,company,male,bouche à oreille,04/010/2023,2023-10-04 15:38:07.733,VRAI,company
651af61dd2ebbd6640a8296a,company,female,entreprise partenaire,02/010/2023,2023-10-02 17:01:09.689,VRAI,company
651705c3d2ebbd6640a81f7c,company,female,bouche à oreille,29/09/2023,2023-09-29 17:16:39.338,VRAI,company
6516d584d2ebbd6640a81df6,company,male,linkedin,29/09/2023,2023-09-29 14:00:46.089,VRAI,company
6516bf02950b955d42c72acd,company,male,autre,29/09/2023,2023-09-29 12:13:02.380,VRAI,company
6516bc2a950b955d42c72acb,company,female,association partenaire,29/09/2023,2023-10-10 06:54:10.159,VRAI,company
64f9a02818cd730cf4f4cdd5,company,female,autre,07/09/2023,2023-09-11 09:46:33.750,VRAI,company
64f71b7918cd730cf4f4c7ae,company,female,entreprise partenaire,05/09/2023,2023-10-13 08:09:55.073,VRAI,company
64f6ec6c3473cc61a0538509,company,female,bouche à oreille,05/09/2023,2023-11-30 11:04:35.535,VRAI,company
